Site,Year,AmountApril,AmountMay,DaysApril,DaysMay
WaleWale,1960,*,*,*,*
WaleWale,1961,*,*,*,*
WaleWale,1962,*,*,*,*
WaleWale,1963,*,*,*,*
WaleWale,1964,*,*,*,*
WaleWale,1965,*,*,*,*
WaleWale,1966,*,*,*,*
WaleWale,1967,*,*,*,*
WaleWale,1968,*,*,*,*
WaleWale,1969,*,*,*,*
WaleWale,1970,*,*,*,*
WaleWale,1971,*,*,*,*
WaleWale,1972,*,*,*,*
WaleWale,1973,*,*,*,*
WaleWale,1974,*,*,*,*
WaleWale,1975,*,*,*,*
WaleWale,1976,677.9999998,653.0999997,50,46
WaleWale,1977,709.4999998,652.8999999,44,39
WaleWale,1978,925.0000005,846.5000002,52,49
WaleWale,1979,1732.7,1672.8,61,58
WaleWale,1980,853.8999994,808.3999999,57,52
WaleWale,1981,672.9999998,593.7,49,47
WaleWale,1982,736.1999998,736.1999998,45,45
WaleWale,1983,866,803.8,49,48
WaleWale,1984,816.7999997,702.5999999,47,45
WaleWale,1985,647.4000001,618.5000002,52,50
WaleWale,1986,413.6000001,382.6000001,43,40
WaleWale,1987,562.8,534.0000002,51,49
WaleWale,1988,432.7,401.0000001,56,52
WaleWale,1989,986.8000004,986.8000004,58,58
WaleWale,1990,719,698.4000001,53,49
WaleWale,1991,961.8999996,835.5999994,71,64
WaleWale,1992,892.0999997,868.2999997,59,54
WaleWale,1993,938.7999997,892.5,59,56
WaleWale,1994,907.6000001,780.4000001,65,60
WaleWale,1995,767.5,719,62,58
WaleWale,1996,915.7,850.5000002,54,50
WaleWale,1997,736.4999993,633.1999996,57,51
WaleWale,1998,734.3,626.0999999,47,44
WaleWale,1999,*,*,*,*
WaleWale,2000,924.0000002,823.7000005,68,60
WaleWale,2001,754.8999999,727.8999999,58,55
WaleWale,2002,792.5999997,736.9999998,51,48
WaleWale,2003,1039.3,1007.5,58,52
WaleWale,2004,799.5999997,692.8999996,61,51
WaleWale,2005,849.3000004,758.7000005,64,60
WaleWale,2006,728.7,675.2000005,51,49
WaleWale,2007,1177.7,1065.7,68,60
WaleWale,2008,957.0000005,907.1000001,65,62
WaleWale,2009,783.8999991,751.1999996,58,53
WaleWale,2010,885.2000003,828.8000004,61,59
WaleWale,2011,724.3000002,682.8000002,51,48
WaleWale,2012,839.1999998,788.5,61,55
WaleWale,2013,884.9999998,765.5999997,58,53
WaleWale,2014,*,*,*,*
